ID	aNode	bNode	weight	used
0    0    1    20.0    false
1    0    2    24.08318915758459    false
2    0    3    32.984845004941285    false
3    0    4    32.984845004941285    false
4    0    5    42.7551166528639    false
5    0    6    55.71355310873648    false
6    0    7    63.245553203367585    false
7    0    8    61.18823416311342    false
8    0    9    70.8801805866774    false
9    0    10    78.587530817554    false
10    0    11    86.34813257969161    false
11    0    12    94.14881836751856    false
12    0    13    101.9803902718557    false
13    0    14    92.77930803794561    false
14    0    15    100.07996802557443    false
15    0    16    116.06894502837527    false
16    0    17    124.06449935416659    false
17    0    18    132.06059215375342    false
18    0    19    140.05713120009278    false
19    0    20    148.05404418657398    false
20    0    21    141.4213562373095    false
21    0    22    125.60254774486066    false
22    0    23    117.71151175649729    false
23    0    24    133.5065541462291    false
24    0    25    149.34523762075577    false
25    0    26    157.2768260107    false
26    0    27    165.21501142450705    false
27    0    28    172.41809649801846    false
28    0    29    184.04347312523745    false
29    0    30    184.39088914585776    false
30    0    31    185.0837648201484    false
31    0    32    198.6454127333425    false
32    0    33    208.153789300123    false
33    0    34    224.1428116179504    false
34    0    35    224.57070156189118    false
35    0    36    232.86047324524614    false
36    0    37    232.31013753170566    false
37    0    38    232.03448019637082    false
38    0    39    232.03448019637082    false
39    0    40    232.31013753170566    false
40    0    41    232.86047324524614    false
41    0    42    233.68354670365648    false
42    0    43    249.57563983690395    false
43    0    44    248.8051446413438    false
44    0    45    248.29015284541592    false
45    0    46    248.03225596683993    false
46    0    47    248.03225596683993    false
47    0    48    248.29015284541592    false
48    0    49    248.8051446413438    false
49    0    50    256.78006153126455    false
50    0    51    256.28109567426156    false
51    0    52    256.03124809288414    false
52    0    53    256.03124809288414    false
53    0    54    256.28109567426156    false
54    0    55    256.78006153126455    false
55    0    56    257.52669764511796    false
56    0    57    258.5188581129044    false
57    0    58    250.59928172283335    false
58    0    59    234.77648945326703    false
59    0    60    236.13555429032706    false
60    0    61    245.15301344262525    false
61    0    62    252.99011838409817    false
62    0    63    261.2278698760911    false
63    0    64    262.9372548727167    false
64    0    65    270.73234014428346    false
65    0    66    276.9259828907356    false
66    0    67    274.9254444390333    false
67    0    68    282.842712474619    false
68    0    69    284.787640181241    false
69    0    70    286.35642126552705    false
70    0    71    288.13885541523206    false
71    0    72    290.13100489261745    false
72    0    73    292.3285822494954    false
73    0    74    294.72699231661835    false
74    0    75    287.1375976774898    false
75    0    76    297.3213749463701    false
76    0    77    300.1066477104431    false
77    0    78    283.7463656154912    false
78    0    79    277.8488797889961    false
79    0    80    274.83813418083014    false
80    0    81    272.02941017470886    false
81    0    82    269.4290259047826    false
82    0    83    267.04306768759227    false
83    0    84    264.8773300982929    false
84    0    85    256.632032295269    false
85    0    86    259.3838853899756    false
86    0    87    262.48809496813374    false
87    0    88    266.66083326952986    false
88    0    89    266.03007348794233    false
89    0    90    269.3176563094221    false
90    0    91    272.80029325497435    false
91    0    92    284.45034716097643    false
92    0    93    291.67104758614624    false
93    0    94    298.9314302645341    false
94    0    95    302.3375596911505    false
95    0    96    295.16097302997224    false
96    0    97    288.0277764383151    false
97    0    98    280.3212442894758    false
98    0    99    270.9686328710392    false
99    1    2    18.439088914585774    false
100    1    3    34.17601498127012    false
101    1    4    42.5205832509386    false
102    1    5    50.47771785649585    false
